date,ticker,open,high,low,close,adj_close,volume,dividends,stock_splits
2020-01-02,AMZN,,,,,,,0.0,0.0
2020-01-03,AMZN,,,,,,,0.0,0.0
2020-01-06,AMZN,,,,,,,0.0,0.0
2020-01-07,AMZN,,,,,,,0.0,0.0
2020-01-08,AMZN,,,,,,,0.0,0.0
2020-01-09,AMZN,,,,,,,0.0,0.0
2020-01-10,AMZN,,,,,,,0.0,0.0
2020-01-13,AMZN,,,,,,,0.0,0.0
2020-01-14,AMZN,,,,,,,0.0,0.0
2020-01-15,AMZN,,,,,,,0.0,0.0
2020-01-16,AMZN,,,,,,,0.0,0.0
2020-01-17,AMZN,,,,,,,0.0,0.0
2020-01-21,AMZN,,,,,,,0.0,0.0
2020-01-22,AMZN,,,,,,,0.0,0.0
2020-01-23,AMZN,,,,,,,0.0,0.0
2020-01-24,AMZN,,,,,,,0.0,0.0
2020-01-27,AMZN,,,,,,,0.0,0.0
2020-01-28,AMZN,,,,,,,0.0,0.0
2020-01-29,AMZN,,,,,,,0.0,0.0
2020-01-30,AMZN,,,,,,,0.0,0.0
2020-01-31,AMZN,,,,,,,0.0,0.0
2020-02-03,AMZN,,,,,,,0.0,0.0
2020-02-04,AMZN,,,,,,,0.0,0.0
2020-02-05,AMZN,,,,,,,0.0,0.0
2020-02-06,AMZN,,,,,,,0.0,0.0
2020-02-07,AMZN,,,,,,,0.0,0.0
2020-02-10,AMZN,,,,,,,0.0,0.0
2020-02-11,AMZN,,,,,,,0.0,0.0
2020-02-12,AMZN,,,,,,,0.0,0.0
2020-02-13,AMZN,,,,,,,0.0,0.0
2020-02-14,AMZN,,,,,,,0.0,0.0
2020-02-18,AMZN,,,,,,,0.0,0.0
2020-02-19,AMZN,,,,,,,0.0,0.0
2020-02-20,AMZN,,,,,,,0.0,0.0
2020-02-21,AMZN,,,,,,,0.0,0.0
2020-02-24,AMZN,,,,,,,0.0,0.0
2020-02-25,AMZN,,,,,,,0.0,0.0
2020-02-26,AMZN,,,,,,,0.0,0.0
2020-02-27,AMZN,,,,,,,0.0,0.0
2020-02-28,AMZN,,,,,,,0.0,0.0
2020-03-02,AMZN,,,,,,,0.0,0.0
2020-03-03,AMZN,,,,,,,0.0,0.0
2020-03-04,AMZN,,,,,,,0.0,0.0
2020-03-05,AMZN,,,,,,,0.0,0.0
2020-03-06,AMZN,,,,,,,0.0,0.0
2020-03-09,AMZN,,,,,,,0.0,0.0
2020-03-10,AMZN,,,,,,,0.0,0.0
2020-03-11,AMZN,,,,,,,0.0,0.0
2020-03-12,AMZN,,,,,,,0.0,0.0
2020-03-13,AMZN,,,,,,,0.0,0.0
2020-03-16,AMZN,,,,,,,0.0,0.0
2020-03-17,AMZN,,,,,,,0.0,0.0
2020-03-18,AMZN,,,,,,,0.0,0.0
2020-03-19,AMZN,,,,,,,0.0,0.0
2020-03-20,AMZN,,,,,,,0.0,0.0
2020-03-23,AMZN,,,,,,,0.0,0.0
2020-03-24,AMZN,,,,,,,0.0,0.0
2020-03-25,AMZN,,,,,,,0.0,0.0
2020-03-26,AMZN,,,,,,,0.0,0.0
2020-03-27,AMZN,,,,,,,0.0,0.0
2020-03-30,AMZN,,,,,,,0.0,0.0
2020-03-31,AMZN,,,,,,,0.0,0.0
2020-04-01,AMZN,,,,,,,0.0,0.0
2020-04-02,AMZN,,,,,,,0.0,0.0
2020-04-03,AMZN,,,,,,,0.0,0.0
2020-04-06,AMZN,,,,,,,0.0,0.0
2020-04-07,AMZN,,,,,,,0.0,0.0
2020-04-08,AMZN,,,,,,,0.0,0.0
2020-04-09,AMZN,,,,,,,0.0,0.0
2020-04-13,AMZN,,,,,,,0.0,0.0
2020-04-14,AMZN,,,,,,,0.0,0.0
2020-04-15,AMZN,,,,,,,0.0,0.0
2020-04-16,AMZN,,,,,,,0.0,0.0
2020-04-17,AMZN,,,,,,,0.0,0.0
2020-04-20,AMZN,,,,,,,0.0,0.0
2020-04-21,AMZN,,,,,,,0.0,0.0
2020-04-22,AMZN,,,,,,,0.0,0.0
2020-04-23,AMZN,,,,,,,0.0,0.0
2020-04-24,AMZN,,,,,,,0.0,0.0
2020-04-27,AMZN,,,,,,,0.0,0.0
2020-04-28,AMZN,,,,,,,0.0,0.0
2020-04-29,AMZN,,,,,,,0.0,0.0
2020-04-30,AMZN,,,,,,,0.0,0.0
2020-05-01,AMZN,,,,,,,0.0,0.0
2020-05-04,AMZN,,,,,,,0.0,0.0
2020-05-05,AMZN,,,,,,,0.0,0.0
2020-05-06,AMZN,,,,,,,0.0,0.0
2020-05-07,AMZN,,,,,,,0.0,0.0
2020-05-08,AMZN,,,,,,,0.0,0.0
2020-05-11,AMZN,,,,,,,0.0,0.0
2020-05-12,AMZN,,,,,,,0.0,0.0
2020-05-13,AMZN,,,,,,,0.0,0.0
2020-05-14,AMZN,,,,,,,0.0,0.0
2020-05-15,AMZN,,,,,,,0.0,0.0
2020-05-18,AMZN,,,,,,,0.0,0.0
2020-05-19,AMZN,,,,,,,0.0,0.0
2020-05-20,AMZN,,,,,,,0.0,0.0
2020-05-21,AMZN,,,,,,,0.0,0.0
2020-05-22,AMZN,,,,,,,0.0,0.0
2020-05-26,AMZN,,,,,,,0.0,0.0
2020-05-27,AMZN,,,,,,,0.0,0.0
2020-05-28,AMZN,,,,,,,0.0,0.0
2020-05-29,AMZN,,,,,,,0.0,0.0
2020-06-01,AMZN,,,,,,,0.0,0.0
2020-06-02,AMZN,,,,,,,0.0,0.0
2020-06-03,AMZN,,,,,,,0.0,0.0
2020-06-04,AMZN,,,,,,,0.0,0.0
2020-06-05,AMZN,,,,,,,0.0,0.0
2020-06-08,AMZN,,,,,,,0.0,0.0
2020-06-09,AMZN,,,,,,,0.0,0.0
2020-06-10,AMZN,,,,,,,0.0,0.0
2020-06-11,AMZN,,,,,,,0.0,0.0
2020-06-12,AMZN,,,,,,,0.0,0.0
2020-06-15,AMZN,,,,,,,0.0,0.0
2020-06-16,AMZN,,,,,,,0.0,0.0
2020-06-17,AMZN,,,,,,,0.0,0.0
2020-06-18,AMZN,,,,,,,0.0,0.0
2020-06-19,AMZN,,,,,,,0.0,0.0
2020-06-22,AMZN,,,,,,,0.0,0.0
2020-06-23,AMZN,,,,,,,0.0,0.0
2020-06-24,AMZN,,,,,,,0.0,0.0
2020-06-25,AMZN,,,,,,,0.0,0.0
2020-06-26,AMZN,,,,,,,0.0,0.0
2020-06-29,AMZN,,,,,,,0.0,0.0
2020-06-30,AMZN,,,,,,,0.0,0.0
2020-07-01,AMZN,,,,,,,0.0,0.0
2020-07-02,AMZN,,,,,,,0.0,0.0
2020-07-06,AMZN,,,,,,,0.0,0.0
2020-07-07,AMZN,,,,,,,0.0,0.0
2020-07-08,AMZN,,,,,,,0.0,0.0
2020-07-09,AMZN,,,,,,,0.0,0.0
2020-07-10,AMZN,,,,,,,0.0,0.0
2020-07-13,AMZN,,,,,,,0.0,0.0
2020-07-14,AMZN,,,,,,,0.0,0.0
2020-07-15,AMZN,,,,,,,0.0,0.0
2020-07-16,AMZN,,,,,,,0.0,0.0
2020-07-17,AMZN,,,,,,,0.0,0.0
2020-07-20,AMZN,,,,,,,0.0,0.0
2020-07-21,AMZN,,,,,,,0.0,0.0
2020-07-22,AMZN,,,,,,,0.0,0.0
2020-07-23,AMZN,,,,,,,0.0,0.0
2020-07-24,AMZN,,,,,,,0.0,0.0
2020-07-27,AMZN,,,,,,,0.0,0.0
2020-07-28,AMZN,,,,,,,0.0,0.0
2020-07-29,AMZN,,,,,,,0.0,0.0
2020-07-30,AMZN,,,,,,,0.0,0.0
2020-07-31,AMZN,,,,,,,0.0,0.0
2020-08-03,AMZN,,,,,,,0.0,0.0
2020-08-04,AMZN,,,,,,,0.0,0.0
